Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
,,,,,,,,,John Ruskin,"<p>This timeline visualisation shows artworks created by John Ruskin.</p><p>It demonstrates how the Linked Art data model can be used to transform, reconcile and visualise collections data for artworks.</p> <p>See https://linked.art for more information.</p>",https://upload.wikimedia.org/wikipedia/commons/0/0a/John_Ruskin_1863.jpg,Wikipedia,John Ruskin,,title,,
1819,2,8,,1900,1,20,,,John Ruskin's lifetime,,https://en.wikipedia.org/wiki/John_Ruskin#/media/File:John_Ruskin_1863.jpg,Wikipedia,John Ruskin,,era,,
1870,1,1,,1870,12,31,,before 1870,Engraving of Ruskin's Drawing of the Petal Vault of a Scarlet Geranium,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159474'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_293-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_293-a-L.jpg,title,,#3f83e8
1869,1,1,,1869,12,31,,early November 1869,Enlarged Study of a Prawn's Rostrum,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159531'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_198-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_198-a-L.jpg,title,,#3f83e8
1852,1,1,,1852,12,31,,1852(?),Study of a Venetian Capital,"Fine Arts Department, Harvard University, Cambridge, MA, Transferred to the Fogg Art Museum, 1926.
<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/298597'>Artwork homepage</a>",https://nrs.harvard.edu/urn-3:HUAM:VRS48802_dynmc,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:VRS48802_dynmc,title,,#00758F
1862,1,1,,1862,12,31,,probably autumn 1862,"Autumnal Cloud filling the Valley of Geneva, the Jura rising out of it, seen from the Brezon above Bonneville",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159589'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_297-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_297-a-L.jpg,title,,#3f83e8
1839,1,1,,1839,12,31,,c. 1839,Axmouth Landslip from Dolands Farm,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/125702'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Multimedia_B/wa/WA_2000_86-a-r-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Multimedia_B/wa/WA_2000_86-a-r-L.jpg,title,,#3f83e8
1862,1,1,,1862,12,31,,15 June - 1 August 1862,Drawing of Luini's fresco of 'Saint Catherine of Alexandria',<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159835'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_WAL_01-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_WAL_01-a-L.jpg,title,,#3f83e8
1871,1,1,,1871,12,31,,before 1871,First Shoots of Wild Rose in Spring,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159566'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_263-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_263-a-L.jpg,title,,#3f83e8
1838,1,1,,1838,12,31,,1838,"Tom Tower, Christ Church, Oxford",<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/298606'>Artwork homepage</a>,https://nrs.harvard.edu/urn-3:HUAM:VRS48818_dynmc,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:VRS48818_dynmc,title,,#00758F
1867,1,1,,1867,12,31,,March - September 1867,"Growing Shoot of Mock Privet (Phillyrea), seen in Profile",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159570'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_267-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_267-a-L.jpg,title,,#3f83e8
1870,1,1,,1871,12,31,,1870 - 1871,An Exercise on the Outline of a common Snail-Shell,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159527'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_193-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_193-a-L.jpg,title,,#3f83e8
1857,1,1,,1857,12,31,,probably 1857,Tracing of Turner's 'Hospice of the Great Saint Bernard',<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159730'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_150-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_150-a-L.jpg,title,,#3f83e8
1871,1,1,,1871,12,31,,probably 1871,Cowslip Bells,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159360'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_017-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_017-a-L.jpg,title,,#3f83e8
1852,1,1,,1852,12,31,,1852(?),Study of a Venetian Capital,"Fine Arts Department, Harvard University, Cambridge, MA, Transferred to the Fogg Art Museum, 1926.
<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/299187'>Artwork homepage</a>",https://nrs.harvard.edu/urn-3:HUAM:VRS48801_dynmc,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:VRS48801_dynmc,title,,#00758F
1845,1,1,,1845,12,31,,c.1845–6,View of Bologna,Purchased 1920<br/><br/><a target='_new' href='http://www.tate.org.uk/art/artworks/ruskin-view-of-bologna-n03507'>Artwork homepage</a>,http://www.tate.org.uk/art/images/work/N/N03/N03507_8.jpg,Tate Museum,,http://www.tate.org.uk/art/images/work/N/N03/N03507_8.jpg,title,,#A09998
1871,1,1,,1871,12,31,,probably spring 1871,A Snake's-Head Fritillary,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159767'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_236-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_236-a-L.jpg,title,,#3f83e8
1854,1,1,,1856,12,31,,c. 1854-1856,Fragment of the Alps,"The artist, sold; to Charles Eliot Norton c. 1858, by descent; to Sara, Margaret, and Elizabeth Norton (daughters of Charles Eliot Norton), sold; to Fogg Art Museum, 1919 [1].

[1] Samuel Sachs provided the funds to purchase the drawing, however, it was never in his collection.<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/303730'>Artwork homepage</a>",https://nrs.harvard.edu/urn-3:HUAM:DDC100823_dynmc,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:DDC100823_dynmc,title,,#00758F
1882,1,1,,1882,12,31,,1882,Looking down from Florence towards Lucca,"Edward Waldo Forbes, Cambridge, gift; to Fogg Art Museum, 1954<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/293768'>Artwork homepage</a>",https://nrs.harvard.edu/urn-3:HUAM:80339_dynmc,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:80339_dynmc,title,,#00758F
1870,1,1,,1870,12,31,,July 1870,Study of a Lion Cub from Nicola Pisano's Siena Pulpit,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159497'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_154_a-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_154_a-a-L.jpg,title,,#3f83e8
