id,place,place_modified,tgn,coords
https://www.harvardartmuseums.org/collections/object/298597,Study of a Venetian Capital,Venezia,tgn/7003006,
https://collections.ashmolean.org/collection/159589,"Autumnal Cloud filling the Valley of Geneva, the Jura rising out of it, seen from the Brezon above Bonneville",tgn/7003746,tgn/7003746,
https://collections.ashmolean.org/collection/125702,Axmouth Landslip from Dolands Farm,Axmouth,tgn/1028371,
https://www.harvardartmuseums.org/collections/object/298606,"Tom Tower, Christ Church, Oxford",tgn/7011931,tgn/7011931,
https://www.harvardartmuseums.org/collections/object/299187,Study of a Venetian Capital,Venezia,tgn/7003006,
https://www.tate.org.uk/art/artworks/13033,View of Bologna,Bologna,tgn/7003127,
https://www.harvardartmuseums.org/collections/object/303730,Fragment of the Alps,Alps,tgn/7007746,
https://www.harvardartmuseums.org/collections/object/293768,Looking down from Florence towards Lucca,Lucca,tgn/7003165,
https://collections.ashmolean.org/collection/159497,Study of a Lion Cub from Nicola Pisano's Siena Pulpit,Siena,tgn/7003168,
https://www.harvardartmuseums.org/collections/object/298489,"Entrance to Feldkirch, the Vorarlberg",Vorarlberg,tgn/7018001,
https://collections.ashmolean.org/collection//48684,End of the Lake of Lecco,Lecco,tgn/7024845,
https://collections.ashmolean.org/collection/159710,The Tower of Gloucester Cathedral,Gloucester,tgn/7011128,
https://collections.ashmolean.org/collection/159340,The Courtyard of a Late Gothic Wooden House at Abbeville,Arrondissement d'Abbeville,tgn/7668075,
https://collections.ashmolean.org/collection/159602,"Detail of the Equestrian Statue on the Summit of the Tomb of Cangrande I della Scala, Verona",Verona,tgn/7003262,
https://www.harvardartmuseums.org/collections/object/298630,Sketch of Verona,Verona,tgn/7003262,
https://www.harvardartmuseums.org/collections/object/298667,Falls of Schaffhausen,Schaffhausen,tgn/7106737,
https://www.harvardartmuseums.org/collections/object/298671,Towers at Baden,Baden-Baden,tgn/7005172,
https://www.harvardartmuseums.org/collections/object/299037,"Church of St. Wulfran, Abbeville",Arrondissement d'Abbeville,tgn/7668075,
https://collections.ashmolean.org/collection/159403,"The Sarcophagus and Effigy of the Tomb of Cangrande I della Scala, Verona",Verona,tgn/7003262,
https://collections.ashmolean.org/collection/159402,"The Tomb of Cangrande I della Scala, Verona",Verona,tgn/7003262,
https://www.harvardartmuseums.org/collections/object/298666,Falls of Schaffhausen,Schaffhausen,tgn/7106737,
https://www.harvardartmuseums.org/collections/object/298373,Bellinzona,Bellinzona,tgn/7007318,
https://collections.ashmolean.org/collection/159414,"Part of the Base of a Pilaster in Santa Maria dei Miracoli, Venice",Venezia,tgn/7003006,
https://collections.ashmolean.org/collection/159584,Tracing of Turner's 'Heysham and Cumberland Mountains',Heysham,tgn/1029546,
https://collections.ashmolean.org/collection//48685,"Bellagio, Lago di Como","Como, Lago di",tgn/7006070,
https://collections.ashmolean.org/collection/159707,Sketch of a Spandril in the western Porch of Bourges Cathedral,Arrondissement de Bourges,tgn/7661997,
https://collections.ashmolean.org/collection/159496,Sketch of Lioness and Cubs from Nicola Pisano's Siena Pulpit,Siena,tgn/7003168,
https://www.harvardartmuseums.org/collections/object/299485,View of Chamonix,Chamonix-Mont-Blanc,tgn/1032562,
https://www.tate.org.uk/art/artworks/13032,"The North-West Angle of the Facade of St Mark’s, Venice",Venezia,tgn/7003006,
https://collections.ashmolean.org/collection/159588,"The Ponte della Pietra, Verona",Verona,tgn/7003262,
https://collections.ashmolean.org/collection/159429,The Kapellbrücke at Luzern (Lucerne),Luzern,tgn/7007280,
https://collections.ashmolean.org/collection/159583,Mont Blanc from Saint-Martin-sur-Arve,Saint-Martin-sur-Arve,tgn/7609880,
https://collections.ashmolean.org/collection//48682,"Bergamo and the Alps, from the road to Brescia",Alps,tgn/7007746,
https://collections.ashmolean.org/collection/159604,"The Palazzo Contarini-Fasan, Venice",Venezia,tgn/7003006,
https://www.harvardartmuseums.org/collections/object/262444,Pass of Faido,Faido,tgn/1064047,
https://collections.ashmolean.org/collection/159413,"Pilaster on the unfinished Facade of Sant' Anastasia, Verona",Verona,tgn/7003262,
https://www.harvardartmuseums.org/collections/object/296901,Ponte Vecchio,tgn/7000457,tgn/7000457,
https://collections.ashmolean.org/collection/159405,"The Gryphon bearing the south Shaft of the west Entrance of the Duomo, Verona",Verona,tgn/7003262,
https://collections.ashmolean.org/collection/159472,"Sepia Sketch of Leafage, further carried: Study from Ruskin's Photograph of the Courtyard of a late Gothic wooden House at Abbeville",Arrondissement d'Abbeville,tgn/7668075,
https://collections.ashmolean.org/collection/176331,"Design for a window in the University Museum, Oxford",tgn/7011931,tgn/7011931,
https://www.harvardartmuseums.org/collections/object/299103,"Convent and Alpine Pass, Visp, Switzerland",Visp,tgn/8711124,
https://www.harvardartmuseums.org/collections/object/262409,Pass of Faido,Faido,tgn/1064047,
https://collections.ashmolean.org/collection/159599,"Study in Colour of one of the Niches surrounding the Tomb of Cansignorio della Scala at Verona, with Remains of the 'Casa di Romeo'",Verona,tgn/7003262,
https://collections.ashmolean.org/collection/159576,Pine Forest on Mont Cenis,"Mont Cenis, Col du",tgn/7017223,
https://collections.ashmolean.org/collection/176327,"Design for a window in the University Museum, Oxford",tgn/7011931,tgn/7011931,
https://www.harvardartmuseums.org/collections/object/299181,Studies in St. Mark's,Venezia,tgn/7003006,
https://collections.ashmolean.org/collection/159409,"Lateral View of the Façade San Michele in Foro, Lucca",Lucca,tgn/7003165,
https://www.harvardartmuseums.org/collections/object/299179,"Architectural Sketch: Section of Door Jamb, Saint Stefano",Santo Stefano,tgn/7036135,
https://collections.ashmolean.org/collection/159408,"Part of the Façade of the destroyed Church of San Michele in Foro, Lucca, sketched in colour",Lucca,tgn/7003165,
https://collections.ashmolean.org/collection/141096,Old houses at Abbeville,Arrondissement d'Abbeville,tgn/7668075,
https://www.harvardartmuseums.org/collections/object/263018,"Fragments from Abbeville, Lucca, Venice, and Pisa",Venezia,tgn/7003006,
https://www.harvardartmuseums.org/collections/object/262432,Lake of Zug,Zug,tgn/7074719,
https://www.harvardartmuseums.org/collections/object/299114,The Pass of Faido,Faido,tgn/1064047,
https://collections.ashmolean.org/collection/176326,"Design for a window in the University Museum, Oxford",tgn/7011931,tgn/7011931,
https://collections.ashmolean.org/collection/159432,"Basle (Basel), with Outline of the Mountains of the Black Forest",Basel,tgn/7211403,
https://collections.ashmolean.org/collection/159598,Study for Detail of the Sarcophagus and Canopy of the Tomb of Mastino II della Scala at Verona,Verona,tgn/7003262,
https://www.harvardartmuseums.org/collections/object/262408,Lake of Zug,Zug,tgn/7074719,
https://www.harvardartmuseums.org/collections/object/298601,View of the Valley of Lauterbrunnen,Lauterbrunnen,tgn/1064175,
https://collections.ashmolean.org/collection/176330,"Design for a window in the University Museum, Oxford",tgn/7011931,tgn/7011931,
https://collections.ashmolean.org/collection/159536,"Part of the Palazzo Priuli, Venice",Venezia,tgn/7003006,
https://www.harvardartmuseums.org/collections/object/296900,"Architectural Sketch, Venice",Venezia,tgn/7003006,
https://www.harvardartmuseums.org/collections/object/255472,Study of Pines at Sestri,Sestri Levante,tgn/7005335,
https://collections.ashmolean.org/collection/159412,A Spandrel at Siena,Siena,tgn/7003168,
https://collections.ashmolean.org/collection/159469,"The Brezon and Alps of the Reposoir, seen from Mornex: finished pencil sketch from nature",Alps,tgn/7007746,
https://collections.ashmolean.org/collection/159605,"View from the Palazzo Bembo to the Palazzo Grimani, Venice",Venezia,tgn/7003006,
http://www.rijksmuseum.nl/nl/collectie/RP-T-1987-19,Bergkam aan het Meer van Genève,Genève,tgn/7003746,
https://collections.ashmolean.org/collection/159582,Study in Neutral Tint of Turner's 'The Pass of Faido',Faido,tgn/1064047,
https://collections.ashmolean.org/collection//48683,"Near Bassano, Brenner",Brenner Pass,tgn/1108350,
https://www.harvardartmuseums.org/collections/object/298820,Dawn at Neuchâtel,Neuchâtel,tgn/7003751,
https://collections.ashmolean.org/collection/159407,"Part of the Façade of the destroyed Church of San Michele in Foro, Lucca, as it appeared in 1845",Lucca,tgn/7003165,
https://www.harvardartmuseums.org/collections/object/298767,Architectural Study: Three Sections of a Venetian Arcade,Venezia,tgn/7003006,
https://www.harvardartmuseums.org/collections/object/298819,"Hôtel de Ville, Aix-la-Chapelle",Aachen,tgn/7004799,
https://collections.ashmolean.org/collection/159411,"A Window of the Palazzo Tolomei, Siena, showing the rude and unsymmetrical Placing of massy Stones",Siena,tgn/7003168,
https://collections.ashmolean.org/collection/159368,Three Studies of Narcissus ('Field Narcissus of the Alps'),Alps,tgn/7007746,
https://collections.ashmolean.org/collection/176329,"Design for a window in the University Museum, Oxford",tgn/7011931,tgn/7011931,
https://www.nga.gov/collection/76140,"Ornamental Study with Acanthus Motif for ""The Stones of Venice""",Venezia,tgn/7003006,
https://collections.ashmolean.org/collection/159606,"The Exterior of the Ducal Palace, Venice",Venezia,tgn/7003006,
