id,place,place_modified,tgn,coords
https://www.harvardartmuseums.org/collections/object/298597,Study of a Venetian Capital,Venice,tgn/7018159,"45.438611,12.326667"
https://www.harvardartmuseums.org/collections/object/298606,"Tom Tower, Christ Church, Oxford",Oxfordshire,tgn/7011931,"51.75,-1.25"
https://www.harvardartmuseums.org/collections/object/299187,Study of a Venetian Capital,Venice,tgn/7018159,"45.438611,12.326667"
https://www.tate.org.uk/art/artworks/13033,View of Bologna,Bologna,tgn/7003127,"44.466667,11.433333"
https://www.harvardartmuseums.org/collections/object/303730,Fragment of the Alps,Alps,tgn/7007746,"46.416667,10"
https://www.harvardartmuseums.org/collections/object/293768,Looking down from Florence towards Lucca,Lucca,tgn/7003165,"44.033333,10.45"
https://collections.ashmolean.org/collection/159497,Study of a Lion Cub from Nicola Pisano's Siena Pulpit,Siena,tgn/7003168,"43.216667,11.4"
https://www.harvardartmuseums.org/collections/object/298489,"Entrance to Feldkirch, the Vorarlberg",Vorarlberg,tgn/7018001,"47.25,9.9167"
https://collections.ashmolean.org/collection//48684,End of the Lake of Lecco,"Lecco, Lago di",tgn/1117004,"45.916667,9.316667"
https://collections.ashmolean.org/collection/159710,The Tower of Gloucester Cathedral,Gloucestershire,tgn/7011128,"51.833333,-2.25"
https://collections.ashmolean.org/collection/159340,The Courtyard of a Late Gothic Wooden House at Abbeville,France,tgn/7010587,"50.106602,1.832691"
https://www.harvardartmuseums.org/collections/object/298667,Falls of Schaffhausen,Schaffhausen,tgn/7106738,"48.966667,10.566667"
https://www.harvardartmuseums.org/collections/object/298671,Towers at Baden,Baden,tgn/8707496,"47.452702,8.309969"
https://www.harvardartmuseums.org/collections/object/299037,"Church of St. Wulfran, Abbeville",France,tgn/7010587,"50.106602,1.832691"
https://www.harvardartmuseums.org/collections/object/298666,Falls of Schaffhausen,Schaffhausen,tgn/7106738,"48.966667,10.566667"
https://www.harvardartmuseums.org/collections/object/298373,Bellinzona,Bellinzona,tgn/7007318,"46.194902,9.024729"
https://collections.ashmolean.org/collection/159414,"Part of the Base of a Pilaster in Santa Maria dei Miracoli, Venice",Venice,tgn/7018159,"45.438611,12.326667"
https://collections.ashmolean.org/collection//48685,"Bellagio, Lago di Como","Como, Lago di",tgn/7006070,"46,9.283333"
https://collections.ashmolean.org/collection/159496,Sketch of Lioness and Cubs from Nicola Pisano's Siena Pulpit,Siena,tgn/7003168,"43.216667,11.4"
https://www.harvardartmuseums.org/collections/object/299485,View of Chamonix,Chamonix-Mont-Blanc,tgn/1032562,"45.924308,6.867316"
https://www.tate.org.uk/art/artworks/13032,"The North-West Angle of the Facade of St Mark’s, Venice",Venice,tgn/7018159,"45.438611,12.326667"
https://collections.ashmolean.org/collection/159429,The Kapellbrücke at Luzern (Lucerne),Luzern,tgn/7007280,"47.083333,8.266667"
https://collections.ashmolean.org/collection/159583,Mont Blanc from Saint-Martin-sur-Arve,"Blanc, Mont",tgn/7617157,"45.356009,6.685511"
https://collections.ashmolean.org/collection//48682,"Bergamo and the Alps, from the road to Brescia",Alps,tgn/7007746,"46.416667,10"
https://collections.ashmolean.org/collection/159604,"The Palazzo Contarini-Fasan, Venice",Venice,tgn/7018159,"45.438611,12.326667"
https://www.harvardartmuseums.org/collections/object/262444,Pass of Faido,Faido,tgn/1064047,"46.479417,8.797659"
https://collections.ashmolean.org/collection/159472,"Sepia Sketch of Leafage, further carried: Study from Ruskin's Photograph of the Courtyard of a late Gothic wooden House at Abbeville",France,tgn/7011931,"51.75,-1.25"
https://collections.ashmolean.org/collection/176331,"Design for a window in the University Museum, Oxford",Oxfordshire,tgn/7011931,"51.75,-1.25"
https://www.harvardartmuseums.org/collections/object/299103,"Convent and Alpine Pass, Visp, Switzerland",Visp,tgn/8711124,"46.301907,7.870004"
https://www.harvardartmuseums.org/collections/object/262409,Pass of Faido,Faido,tgn/1064047,"46.479417,8.797659"
https://collections.ashmolean.org/collection/176327,"Design for a window in the University Museum, Oxford",Oxfordshire,tgn/7011931,"51.75,-1.25"
https://www.harvardartmuseums.org/collections/object/299181,Studies in St. Mark's,Venice,tgn/7018159,"45.438611,12.326667"
https://collections.ashmolean.org/collection/159409,"Lateral View of the Façade San Michele in Foro, Lucca",Lucca,tgn/7003165,"44.033333,10.45"
https://collections.ashmolean.org/collection/159408,"Part of the Façade of the destroyed Church of San Michele in Foro, Lucca, sketched in colour",Lucca,tgn/7003165,"44.033333,10.45"
https://collections.ashmolean.org/collection/141096,Old houses at Abbeville,France,tgn/7010587,"50.106602,1.832691"
https://www.harvardartmuseums.org/collections/object/263018,"Fragments from Abbeville, Lucca, Venice, and Pisa",Venice,tgn/7018159,"45.438611,12.326667"
https://www.harvardartmuseums.org/collections/object/262432,Lake of Zug,"Zug, Lake of",tgn/1118823,"47.131301,8.483347"
https://www.harvardartmuseums.org/collections/object/299114,The Pass of Faido,Faido,tgn/1064047,"46.479417,8.797659"
https://collections.ashmolean.org/collection/176326,"Design for a window in the University Museum, Oxford",Oxfordshire,tgn/7011931,"51.75,-1.25"
https://collections.ashmolean.org/collection/159432,"Basle (Basel), with Outline of the Mountains of the Black Forest",Basel,tgn/7007269,"47.558395,7.573271"
https://www.harvardartmuseums.org/collections/object/262408,Lake of Zug,"Zug, Lake of",tgn/1118823,"47.131301,8.483347"
https://collections.ashmolean.org/collection/176330,"Design for a window in the University Museum, Oxford",Oxfordshire,tgn/7011931,"51.75,-1.25"
https://collections.ashmolean.org/collection/159536,"Part of the Palazzo Priuli, Venice",Venice,tgn/7018159,"45.438611,12.326667"
https://www.harvardartmuseums.org/collections/object/296900,"Architectural Sketch, Venice",Venice,tgn/7018159,"45.438611,12.326667"
https://www.harvardartmuseums.org/collections/object/255472,Study of Pines at Sestri,"Sestri, Punta di",tgn/7034720,"44.269444,9.384722"
https://collections.ashmolean.org/collection/159412,A Spandrel at Siena,Siena,tgn/7003168,"43.216667,11.4"
https://collections.ashmolean.org/collection/159469,"The Brezon and Alps of the Reposoir, seen from Mornex: finished pencil sketch from nature",Alps,tgn/7007746,"46.416667,10"
https://collections.ashmolean.org/collection/159605,"View from the Palazzo Bembo to the Palazzo Grimani, Venice",Venice,tgn/7018159,"45.438611,12.326667"
http://www.rijksmuseum.nl/nl/collectie/nl-RP-T-1987-19,Bergkam aan het Meer van Genève,Genève,tgn/7003746,"46.196732,6.110443"
https://collections.ashmolean.org/collection/159582,Study in Neutral Tint of Turner's 'The Pass of Faido',Faido,tgn/1064047,"46.479417,8.797659"
https://www.harvardartmuseums.org/collections/object/298820,Dawn at Neuchâtel,Neuchâtel,tgn/7003751,"46.990867,6.797675"
https://collections.ashmolean.org/collection/159407,"Part of the Façade of the destroyed Church of San Michele in Foro, Lucca, as it appeared in 1845",Lucca,tgn/7003165,"44.033333,10.45"
