id,place,gettyid,geocoords
https://www.harvardartmuseums.org/collections/object/298597,Venice,tgn/7018159,
https://www.harvardartmuseums.org/collections/object/298606,Oxfordshire,ulan/500309846,
https://www.harvardartmuseums.org/collections/object/299187,Venice,tgn/7018159,
https://www.tate.org.uk/art/artworks/13033,View of Bologna,tgn/7003127,
https://www.harvardartmuseums.org/collections/object/303730,Fragment of the Alps,tgn/2131182,
https://www.harvardartmuseums.org/collections/object/293768,Looking down from Florence towards Lucca,tgn/2475367,
https://www.harvardartmuseums.org/collections/object/298489,"Entrance to Feldkirch, the Vorarlberg",tgn/7003119,
https://www.harvardartmuseums.org/collections/object/262415,Dawn After the Wreck,tgn/7782226,
https://www.harvardartmuseums.org/collections/object/298630,Sketch of Verona,tgn/7003007,
https://www.harvardartmuseums.org/collections/object/298667,Falls of Schaffhausen,tgn/7106737,
https://www.harvardartmuseums.org/collections/object/298671,Towers at Baden,tgn/8707496,
https://www.harvardartmuseums.org/collections/object/298364,Branch with Leaves,,
https://www.harvardartmuseums.org/collections/object/299037,"Church of St. Vulfran, Abbeville, France",tgn/7668070,
https://www.harvardartmuseums.org/collections/object/298627,"Detail of St. Sauveur, Caen",tgn/7008209,
https://www.harvardartmuseums.org/collections/object/298365,Branch with Leaves,,
https://www.harvardartmuseums.org/collections/object/298666,Falls of Schaffhausen,tgn/1135692,
https://www.harvardartmuseums.org/collections/object/298373,Bellinzona,Q64044,
https://www.harvardartmuseums.org/collections/object/296290,Twig of Peach Bloom,,
https://www.harvardartmuseums.org/collections/object/262443,Lombard Apennine,tgn/7629905,
https://www.harvardartmuseums.org/collections/object/298758,The Matterhorn,Q31473547,
https://www.harvardartmuseums.org/collections/object/262414,Blois,tgn/7008320,
https://www.harvardartmuseums.org/collections/object/297454,Coral Oysters,,
https://www.harvardartmuseums.org/collections/object/299485,View of Chamonix,tgn/1032562,
https://www.harvardartmuseums.org/collections/object/299186,Lauffenbourg,,
https://www.tate.org.uk/art/artworks/13032,Venezia,tgn/7003006,
https://www.harvardartmuseums.org/collections/object/296967,Architectural Study,Q64368145,
https://www.harvardartmuseums.org/collections/object/298749,Old Vevay,,
https://www.harvardartmuseums.org/collections/object/237625,Château Blois,tgn/8724202,
https://www.harvardartmuseums.org/collections/object/299119,Early Byzantine Carving,,
https://www.harvardartmuseums.org/collections/object/296901,Venezia,Q208633,
https://www.harvardartmuseums.org/collections/object/299103,"Convent and Alpine Pass, Visp, Switzerland",tgn/8711124,
https://www.harvardartmuseums.org/collections/object/299181,Venezia,tgn/7003006,
https://www.harvardartmuseums.org/collections/object/299178,"Architectural Studies: Lintels, Abacus Heads, Arches, etc. (House of Dandolo)",,
https://www.harvardartmuseums.org/collections/object/262999,Crests of La Côte and Taconay,tgn/8703364,
https://www.harvardartmuseums.org/collections/object/299179,Saint Stefano,tgn/7036135,
https://www.nga.gov/collection/70367,Tree Study,,
https://www.harvardartmuseums.org/collections/object/299092,"Panel Moldings, Sarcophagi",,
https://www.harvardartmuseums.org/collections/object/263018,"Fragments from Abbeville, Lucca, Venice, and Pisa",tgn/7003165,
https://www.harvardartmuseums.org/collections/object/299704,Rock (?),,
https://www.harvardartmuseums.org/collections/object/262432,Lake of Zug,tgn/1118823,
https://www.harvardartmuseums.org/collections/object/299180,Architectural Study at Sens: Sketch of Foolish Virgin Relief,tgn/8723449,
https://www.harvardartmuseums.org/collections/object/297464,Street Scene,,
https://www.harvardartmuseums.org/collections/object/299114,The Pass of Faido,tgn/1064047,
https://www.harvardartmuseums.org/collections/object/262408,Lake of Zug,tgn/1118823,
https://www.harvardartmuseums.org/collections/object/298601,View of the Valley of Lauterbrunnen,tgn/1064175,
https://www.harvardartmuseums.org/collections/object/296900,Venezia,tgn/2743978,
https://www.harvardartmuseums.org/collections/object/255472,Sestri,tgn/1046890,
https://www.harvardartmuseums.org/collections/object/298363,Study for Growth of Wild Violet,,
https://www.harvardartmuseums.org/collections/object/262445,Quivi Trovammo,,
https://www.harvardartmuseums.org/collections/object/298498,"Stone Pines, after a Lithograph by J.D. Harding",,
https://www.harvardartmuseums.org/collections/object/298820,Dawn at Neuchâtel,tgn/7003751,
https://www.harvardartmuseums.org/collections/object/299176,Architectural Detail,,
https://www.harvardartmuseums.org/collections/object/298767,Venice,tgn/7018159,
https://www.harvardartmuseums.org/collections/object/298819,Aachen,Q300747,
https://www.harvardartmuseums.org/collections/object/263017,Dawn After the Wreck,,
https://www.harvardartmuseums.org/collections/object/298634,Dry Oak Leaves,,
https://www.nga.gov/collection/76140,Venezia,tgn/2743994,
https://www.harvardartmuseums.org/collections/object/297164,View of Amalfi,tgn/7004574,
https://www.harvardartmuseums.org/collections/object/262489,Lake of Zug,tgn/1118823,
https://www.harvardartmuseums.org/collections/object/298815,Venezia,tgn/2743978,
https://www.harvardartmuseums.org/collections/object/298751,"Geological Sketches, Bird's Skull",,
https://www.harvardartmuseums.org/collections/object/298814,"Venezia, Italy",tgn/7050113,
https://www.harvardartmuseums.org/collections/object/297450,Town of Schaffhausen: Castle and Turrets,tgn/7106738,
https://www.harvardartmuseums.org/collections/object/262410,Rhine,tgn/7012611,
https://www.harvardartmuseums.org/collections/object/298635,Tower of Fribourg,tgn/7645603,
https://www.harvardartmuseums.org/collections/object/298674,Studies of Leaves; verso: Skull of an Animal,,
https://www.harvardartmuseums.org/collections/object/299177,Architectural Study: Palazzo Dandolo,,
https://www.harvardartmuseums.org/collections/object/298766,Venezia,tgn/7003006,
https://www.harvardartmuseums.org/collections/object/262979,Venezia,tgn/2743994,
https://www.harvardartmuseums.org/collections/object/298628,"Cathedral of St. Lô, Normandy",tgn/7008219,
https://www.harvardartmuseums.org/collections/object/299039,"Detail of ""Solomon and the Queen of Sheba"" by Veronese",,
https://www.tate.org.uk/art/artworks/13031,An Olive Spray and Two Leaf Outlines,,
https://www.harvardartmuseums.org/collections/object/299185,Kempten,tgn/7155787,
https://www.harvardartmuseums.org/collections/object/298598,Trunk of a Tree,,
https://www.harvardartmuseums.org/collections/object/297456,Venezia,tgn/2743994,
https://www.harvardartmuseums.org/collections/object/298633,Withered Rush-blossom (Exercise in Lamp-Black),,
https://www.harvardartmuseums.org/collections/object/298605,Study of a Magnified Pheasant's Feather,,
https://www.harvardartmuseums.org/collections/object/298668,Venezia,tgn/2743978,
