id,place,place_modified,coords
https://collections.ashmolean.org/collection//48684,End of the Lake of Lecco,Lake of Lecco, 
https://www.harvardartmuseums.org/collections/object/298667,Falls of Schaffhausen,Schaffhausen, 
https://www.harvardartmuseums.org/collections/object/298671,Towers at Baden,Baden, 
https://www.harvardartmuseums.org/collections/object/299037,"Church of St. Wulfran, Abbeville",Abbeville, 
https://www.harvardartmuseums.org/collections/object/298666,Falls of Schaffhausen,Schaffhausen, 
https://collections.ashmolean.org/collection//48685,"Bellagio, Lago di Como",Lago di Como, 
https://collections.ashmolean.org/collection//48682,"Bergamo and the Alps, from the road to Brescia",Alps, 
https://www.harvardartmuseums.org/collections/object/299103,"Convent and Alpine Pass, Visp, Switzerland",Visp, 
https://www.harvardartmuseums.org/collections/object/298820,Dawn at Neuchâtel,Neuchâtel, 
https://www.harvardartmuseums.org/collections/object/298767,Architectural Study: Three Sections of a Venetian Arcade,Venezia, 
https://www.harvardartmuseums.org/collections/object/298819,"Hôtel de Ville, Aix-la-Chapelle",Aix-la-Chapelle, 
https://www.harvardartmuseums.org/collections/object/298815,"Boat and Sketches of Two Figures, Venice",Venezia, 
https://www.harvardartmuseums.org/collections/object/298814,Studies of Venetian Capitals,Venezia, 
https://www.harvardartmuseums.org/collections/object/298635,Tower of Fribourg,Fribourg, 
https://www.harvardartmuseums.org/collections/object/298766,Venetian Renaissance Capital,Venezia, 
https://www.harvardartmuseums.org/collections/object/298668,Part of a Sketch of the Northwest Porch of St. Mark's,Venezia, 
